"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source"
"1","Tohama","NC_002929.2","1954",NA,NA,"ptxP1/fim3-1","NCBI"
"2","K067","SRR10002378","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"3","K045","SRR10002379","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"4","K044","SRR10002380","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"5","K098","SRR10002381","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"6","K088","SRR10002382","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"7","K068","SRR10002383","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"8","K077","SRR10002384","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"9","K076","SRR10002385","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"10","K079","SRR10002386","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"11","K078","SRR10002387","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"12","K081","SRR10002388","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"13","","SRR10002389","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"14","K087","SRR10002390","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"15","K085","SRR10002391","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"16","J942","SRR10002392","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"17","J943","SRR10002393","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"18","J940","SRR10002394","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"19","J941","SRR10002395","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"20","J946","SRR10002396","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"21","J947","SRR10002397","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"22","J944","SRR10002398","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"23","J945","SRR10002399","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"24","K031","SRR10002400","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"25","J948","SRR10002401","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"26","J949","SRR10002402","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"27","","SRR10002403","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"28","","SRR10002404","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"29","","SRR10002405","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"30","","SRR10002406","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"31","","SRR10002407","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"32","","SRR10002408","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"33","","SRR10002409","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"34","","SRR10002410","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"35","","SRR10002411","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"36","","SRR10002412","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"37","","SRR10002413","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"38","","SRR10002414","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"39","","SRR10002415","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"40","K029","SRR10002416","2017","USA","North","ptxP3/fim3-1","NCBI - CDC"
"41","","SRR10002417","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"42","","SRR10002418","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"43","","SRR10002419","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"44","","SRR10002420","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"45","","SRR10002421","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"46","K028","SRR10002422","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"47","","SRR10002423","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"48","","SRR10002424","2018","USA","North","ptxP3/fim3-1","NCBI - CDC"
"49","","SRR10002425","2018","USA","North","ptxP3/fim3-2","NCBI - CDC"
