"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source"
"1","","DRR165176","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"2","","DRR165177","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"3","","DRR165178","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"4","","DRR165179","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"5","","DRR165180","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"6","","DRR165181","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"7","","DRR165182","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"8","","DRR165183","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"9","","DRR165184","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"10","","DRR165185","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"11","","DRR165186","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"12","","DRR165187","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"13","","DRR165188","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"14","","DRR165189","2015","Japan","Asia","ptxP3/fim3-1","NCBI"
"15","","DRR165190","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"16","","DRR165191","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"17","","DRR165192","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"18","","DRR165193","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"19","","DRR165194","2017","Japan","Asia","ptxP3/fim3-1","NCBI"
"20","","DRR165195","2015","Japan","Asia","ptxP3/fim3-1","NCBI"
"21","BP300","DRR209174","2005.77534246575","Japan","Asia","ptxP3/fim3-2","NCBI"
"22","BP300s","DRR209176","2011.4","Japan","Asia","ptxP3/fim3-2","NCBI"
"23","BP611","DRR220690","2019.74794520548","Japan","Asia","ptxP3/fim3-1","NCBI"
"24","","DRR300236","2018","Japan","Asia","ptxP1/fim3-1","NCBI"
"25","","DRR300237","2010","Japan","Asia","ptxP3/fim3-1","NCBI"
"26","","DRR300238","2010","Japan","Asia","ptxP3/fim3-1","NCBI"
"27","","DRR300239","2010","Japan","Asia","ptxP3/fim3-1","NCBI"
"28","","DRR300240","2010","Japan","Asia","ptxP3/fim3-1","NCBI"
"29","","DRR300241","2010","Japan","Asia","ptxP3/fim3-1","NCBI"
"30","","DRR300242","2010","Japan","Asia","ptxP3/fim3-1","NCBI"
"31","","DRR300243","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"32","","DRR300244","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"33","","DRR300245","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"34","","DRR300246","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"35","","DRR300247","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"36","","DRR300248","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"37","","DRR300249","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"38","","DRR300250","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"39","","DRR300251","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"40","","DRR300252","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"41","","DRR300253","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"42","","DRR300254","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
